date,open,high,low,close,volume
2016-08-17,27.8069,27.8647,27.7357,27.8336,17598105
2016-08-18,27.798,27.9581,27.7446,27.9581,28041239
2016-08-19,27.8603,27.9314,27.7357,27.798,24742797
2016-08-22,27.7268,27.9581,27.6468,27.8603,20460480
2016-08-23,27.9759,28.0826,27.7802,27.7802,32116691
2016-08-24,27.8158,27.887,27.7268,27.7713,22045111
2016-08-25,27.7446,27.8425,27.6913,27.7624,17027872
2016-08-26,27.8158,27.9848,27.7001,27.7802,22265644
2016-08-29,27.7357,27.9759,27.7268,27.8958,21248854
2016-08-30,27.8781,27.9937,27.8425,27.9047,18137873
2016-08-31,27.8336,27.8833,27.7446,27.7891,33416260
2016-09-01,27.709,27.8336,27.54,27.7535,41255600
2016-09-02,27.798,27.9759,27.7802,27.8336,20807497
2016-09-06,27.8514,27.8781,27.3977,27.6201,40955651
2016-09-07,27.5667,27.629,27.3977,27.629,27266887
2016-09-08,27.5756,27.6201,27.4867,27.6112,30256181
2016-09-09,27.4155,27.4155,26.7839,26.7839,44619722
2016-09-12,26.6861,27.1931,26.5438,27.1219,41407281
2016-09-13,26.8818,26.9127,26.437,26.5526,45066224
2016-09-14,26.5171,26.6861,26.3925,26.4192,51077594
2016-09-15,26.4909,26.7599,26.3744,26.6702,35262527
2016-09-16,26.5627,26.6702,26.482,26.6075,64934725
2016-09-19,26.6971,26.8585,26.3565,26.3834,30501299
2016-09-20,26.5985,26.7151,26.5537,26.5985,29646465
2016-09-21,26.6702,26.8226,26.5268,26.7599,29031558
2016-09-22,26.8585,26.993,26.8316,26.9302,29379879
2016-09-23,26.9123,26.9392,26.724,26.7957,22821677
2016-09-26,26.7151,26.724,26.464,26.482,25905794
2016-09-27,26.5358,26.8675,26.4192,26.7868,25491940
2016-09-28,26.8226,26.8406,26.5358,26.8047,26750633
2016-09-29,26.724,26.984,26.3923,26.473,38873664
2016-09-30,26.5358,26.7599,26.5133,26.5537,36120040
2016-10-03,26.4102,26.6254,26.3565,26.5716,19794077
2016-10-04,26.6344,26.6702,26.4013,26.4461,31127714
2016-10-05,26.464,26.6254,26.3565,26.4461,24936855
2016-10-06,26.3565,26.4461,26.1234,26.2399,28087933
2016-10-07,26.0517,26.1816,25.9262,26.0696,37840132
2016-10-10,25.9979,26.2758,25.8275,25.8724,33981885
2016-10-11,25.7738,26.0248,25.72,25.9262,30942235
2016-10-12,25.9262,26.0158,25.8275,25.9082,22754703
2016-10-13,25.8006,25.9082,25.6931,25.7917,28392555
2016-10-14,25.962,26.0248,25.8365,25.8993,28181380
2016-10-17,25.9082,25.9889,25.7289,25.8634,39732551
2016-10-18,26.0248,26.0696,25.9082,25.9799,27562377
2016-10-19,26.0517,26.1951,26.0248,26.0517,29187978
2016-10-20,26.0875,26.1772,25.962,26.0606,28433328
2016-10-21,25.4958,25.9979,25.3972,25.9799,64153187
2016-10-24,25.9979,26.1861,25.9082,25.9262,31139738
2016-10-25,25.9441,26.0068,25.6572,25.6841,26480722
2016-10-26,25.6303,26.0606,25.5945,25.8813,24357188
2016-10-27,25.8993,25.962,25.6482,25.6662,25432889
2016-10-28,25.8903,26.5268,25.8813,26.1951,67870824
2016-10-31,26.4282,26.5806,26.0786,26.0875,43563696
2016-11-01,25.9979,26.1772,25.7379,25.8903,32010770
2016-11-02,25.8724,25.8724,25.46,25.5407,30873251
2016-11-03,25.6393,25.6393,25.2717,25.3524,23000683
2016-11-04,25.2986,25.8275,25.2986,25.4958,35864921
2016-11-07,25.8634,26.2937,25.8455,26.2758,41254153
2016-11-08,26.3296,26.5537,26.2578,26.3744,35829370
2016-11-09,26.2847,26.724,26.0606,26.5627,54046508
2016-11-10,26.7599,27.6474,26.7419,27.2619,81324772
2016-11-11,27.3336,27.5846,27.226,27.5308,42712372
2016-11-14,27.5577,27.6564,27.3291,27.3516,37740534
2016-11-15,27.3247,27.5846,27.1095,27.5667,40185971
2016-11-16,27.4771,27.5891,27.3784,27.5577,25265840
2016-11-17,27.5219,27.6743,27.486,27.6026,17834070
2016-11-18,27.5667,27.7012,27.3605,27.495,28583868
2016-11-21,27.5129,27.6832,27.4143,27.6743,22136288
2016-11-22,27.7281,28.006,27.6788,27.9522,27721315
2016-11-23,28.006,28.1315,27.9522,28.0956,24624934
2016-11-25,28.1942,28.2301,28.0508,28.1853,13162239
2016-11-28,28.0867,28.1763,27.9791,28.0149,22092675
2016-11-29,28.0418,28.1046,27.7729,27.8357,31423689
2016-11-30,27.9522,28.0329,27.5667,27.5757,45636890
2016-12-01,27.4681,28.2032,27.4502,28.1405,44701975
2016-12-02,28.1136,28.2301,28.0239,28.0956,21401028
2016-12-05,28.1763,28.1942,27.8446,27.8894,22138326
2016-12-06,27.9612,28.006,27.7998,27.9432,17573265
2016-12-07,27.7998,28.3287,27.7281,28.3287,32896981
2016-12-08,28.3287,28.4184,28.1494,28.266,28145056
2016-12-09,28.1942,28.6156,28.1046,28.4901,31227376
